team,teamId,code,wc26PackageGroup,confederation,fifaRank,isHost,coach,playingStyle,keyPlayers,worldCupAppearances,worldCupTitles,bestResult,source
Iran,irn,IRN,G,AFC,20,false,Amir Ghalenoei,"Defensively resilient with a low block, physical duels, and dangerous on set pieces and counter-attacks.","Mehdi Taremi (FWD, Olympiacos); Sardar Azmoun (FWD, Shabab Al-Ahli); Alireza Beiranvand (GK, Persepolis)",6,0,"Group stage (1978, 1998, 2006, 2014, 2018, 2022)",wc26-mcp package 0.3.1
Egypt,egy,EGY,G,CAF,31,false,Hossam Hassan,Structured defensively with a reliance on star forward Mohamed Salah for creative spark and goals.,"Mohamed Salah (FWD, Liverpool); Omar Marmoush (FWD, Manchester City); Mohamed Elneny (MID, Al Jazira)",4,0,"Group stage (1934, 1990, 2018)",wc26-mcp package 0.3.1
New Zealand,nzl,NZL,G,OFC,86,false,Darren Bazeley,"Resolute and hardworking with a direct, physical approach and strong team cohesion.","Chris Wood (FWD, Nottingham Forest); Liberato Cacace (DEF, Wrexham); Matt Garbett (MID, Torino)",3,0,"Group stage (1982, 2010)",wc26-mcp package 0.3.1
Spain,esp,ESP,H,UEFA,1,false,Luis de la Fuente,"Tiki-taka evolved — possession-dominant with penetrating passing, young dynamic wingers, and a high defensive line.","Lamine Yamal (FWD, Barcelona); Pedri (MID, Barcelona); Rodri (MID, Manchester City)",16,1,Champions (2010),wc26-mcp package 0.3.1
Uruguay,uru,URU,H,CONMEBOL,17,false,Marcelo Bielsa,"Aggressive pressing with relentless intensity, fluid attacking movements, and a fearless mentality under Bielsa's demanding system.","Federico Valverde (MID, Real Madrid); Darwin Nunez (FWD, Al-Hilal); Ronald Araujo (DEF, Barcelona)",14,2,"Champions (1930, 1950)",wc26-mcp package 0.3.1
Saudi Arabia,ksa,KSA,H,AFC,60,false,Herve Renard,Possession-focused with improved tactical discipline and a growing emphasis on developing domestic talent.,"Salem Al-Dawsari (FWD, Al Hilal); Firas Al-Buraikan (FWD, Al Ahli); Mohammed Al-Owais (GK, Al Hilal)",7,0,Round of 16 (1994),wc26-mcp package 0.3.1
Cape Verde,cpv,CPV,H,CAF,67,false,Bubista,"Technically skilled with flair on the ball, emphasizing width and individual creativity in tight spaces.","Garry Rodrigues (FWD, Apollon Limassol); Kenny Rocha Santos (MID, Al-Ittihad); Stopira (DEF, Giresunspor)",1,0,Debut appearance (2026),wc26-mcp package 0.3.1
France,fra,FRA,I,UEFA,3,false,Didier Deschamps,"Pragmatic and adaptable with world-class individual talent, capable of both defensive solidity and explosive attacking football.","Kylian Mbappe (FWD, Real Madrid); Michael Olise (FWD, Bayern Munich); Aurelien Tchouameni (MID, Real Madrid)",16,2,Champions (2018),wc26-mcp package 0.3.1
Senegal,sen,SEN,I,CAF,12,false,Pape Thiaw,"Physically powerful with pace on the flanks, tactical discipline, and strong defensive organization.","Sadio Mane (FWD, Al Nassr); Kalidou Koulibaly (DEF, Al Hilal); Ismaila Sarr (FWD, Crystal Palace)",4,0,Quarter-finals (2002),wc26-mcp package 0.3.1
Norway,nor,NOR,I,UEFA,32,false,Stale Solbakken,"Direct and physical with a focus on getting the ball to star striker Haaland quickly, supported by disciplined defending.","Erling Haaland (FWD, Manchester City); Martin Odegaard (MID, Arsenal); Alexander Sorloth (FWD, Atletico Madrid)",3,0,Round of 16 (1998),wc26-mcp package 0.3.1
IC Playoff 2 Winner,tbd_ic_2,TBD,I,AFC,,false,TBD,To be determined after Intercontinental Playoff 2 concludes.,,0,0,TBD,wc26-mcp package 0.3.1
Argentina,arg,ARG,J,CONMEBOL,2,false,Lionel Scaloni,"Balanced and cohesive with elite individual quality, a rock-solid defense, and Messi's orchestration in attack.","Lionel Messi (FWD, Inter Miami); Julian Alvarez (FWD, Atletico Madrid); Enzo Fernandez (MID, Chelsea)",18,3,Champions (2022),wc26-mcp package 0.3.1
Austria,aut,AUT,J,UEFA,24,false,Ralf Rangnick,"Intense gegenpressing with a structured positional game, vertical transitions, and relentless energy under Rangnick.","David Alaba (DEF, Real Madrid); Marcel Sabitzer (MID, Borussia Dortmund); Christoph Baumgartner (MID, RB Leipzig)",8,0,"Semi-finals (1934, 1954)",wc26-mcp package 0.3.1
Algeria,alg,ALG,J,CAF,28,false,Vladimir Petkovic,"Technically proficient with a structured build-up, strong midfield control, and clinical finishing.","Riyad Mahrez (FWD, Al Ahli); Ismael Bennacer (MID, Dinamo Zagreb); Islam Slimani (FWD, CFR Cluj)",5,0,Round of 16 (2014),wc26-mcp package 0.3.1
Jordan,jor,JOR,J,AFC,64,false,Hussein Ammouta,Defensively organized with disciplined shape and capable of producing surprise results through collective effort.,"Mousa Al-Taamari (FWD, Montpellier); Yazan Al-Naimat (FWD, Young Boys); Yazeed Abo Laila (GK, Omonoia)",1,0,Debut appearance (2026),wc26-mcp package 0.3.1
Portugal,por,POR,K,UEFA,6,false,Roberto Martinez,"Technically excellent with patient build-up play, creative midfield, and devastating finishing from Cristiano Ronaldo.","Cristiano Ronaldo (FWD, Al Nassr); Bernardo Silva (MID, Manchester City); Rafael Leao (FWD, AC Milan)",8,0,"Semi-finals (1966, 2006)",wc26-mcp package 0.3.1
Colombia,col,COL,K,CONMEBOL,14,false,Nestor Lorenzo,"Possession-based with technical flair, creative playmaking through James Rodriguez, and physicality in midfield.","Luis Diaz (FWD, Liverpool); James Rodriguez (MID, Minnesota United); Jhon Arias (FWD, Palmeiras)",7,0,Quarter-finals (2014),wc26-mcp package 0.3.1
Uzbekistan,uzb,UZB,K,AFC,51,false,Fabio Cannavaro,Well-organized with a disciplined defensive shape and ability to compete physically against stronger opponents.,"Eldor Shomurodov (FWD, Istanbul Basaksehir); Abbosbek Fayzullaev (MID, Istanbul Basaksehir); Otabek Shukurov (MID, Baniyas)",1,0,Debut appearance (2026),wc26-mcp package 0.3.1
IC Playoff 1 Winner,tbd_ic_1,TBD,K,CONMEBOL,,false,TBD,To be determined after Intercontinental Playoff 1 concludes.,,0,0,TBD,wc26-mcp package 0.3.1
England,eng,ENG,L,UEFA,4,false,Thomas Tuchel,Structured and tactically sophisticated with strong defensive organization and quality in wide areas.,"Jude Bellingham (MID, Real Madrid); Bukayo Saka (FWD, Arsenal); Phil Foden (MID, Manchester City)",16,1,Champions (1966),wc26-mcp package 0.3.1
Croatia,cro,CRO,L,UEFA,11,false,Zlatko Dalic,Technically masterful midfield-driven team with exceptional passing quality and big-tournament pedigree.,"Luka Modric (MID, Real Madrid); Mateo Kovacic (MID, Manchester City); Josko Gvardiol (DEF, Manchester City)",7,0,Runners-up (2018),wc26-mcp package 0.3.1
Ghana,gha,GHA,L,CAF,72,false,Otto Addo,"Athletic and dynamic with pace in attack, spirited performances, and strong team unity.","Mohammed Kudus (MID, Tottenham Hotspur); Thomas Partey (MID, Villarreal); Antoine Semenyo (FWD, Bournemouth)",5,0,Quarter-finals (2010),wc26-mcp package 0.3.1
Panama,pan,PAN,L,CONCACAF,33,false,Thomas Christiansen,Physically strong and combative with an organized defensive block and aerial threat from set pieces.,"Michael Murillo (DEF, Anderlecht); Jose Fajardo (FWD, Saprissa); Adalberto Carrasquilla (MID, Houston Dynamo)",2,0,Group stage (2018),wc26-mcp package 0.3.1
